     mean_fit_time  std_fit_time  mean_score_time  std_score_time param_max_depth param_max_features param_min_samples_split param_n_estimators                                                                                     params  split0_test_score  split1_test_score  split2_test_score  split3_test_score  split4_test_score  mean_test_score  std_test_score  rank_test_score  split0_train_score  split1_train_score  split2_train_score  split3_train_score  split4_train_score  mean_train_score  std_train_score
27        4.266388      0.355189         0.306500        0.054966               1               auto                       4                250      {'max_depth': 1, 'max_features': 'auto', 'min_samples_split': 4, 'n_estimators': 250}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
26        2.128506      0.549740         0.169298        0.039565               1               auto                       4                100      {'max_depth': 1, 'max_features': 'auto', 'min_samples_split': 4, 'n_estimators': 100}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
25        0.242164      0.029398         0.041983        0.018588               1               auto                       4                 10       {'max_depth': 1, 'max_features': 'auto', 'min_samples_split': 4, 'n_estimators': 10}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
24       20.878350      1.859034         1.239750        0.086479               1               auto                       2               1000     {'max_depth': 1, 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 1000}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
59       13.733881      2.390678         1.020469        0.297637               1               log2                       8               1000     {'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 8, 'n_estimators': 1000}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
22        5.710170      0.912161         0.467757        0.182549               1               auto                       2                250      {'max_depth': 1, 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 250}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
21        1.328414      0.034837         0.133886        0.016343               1               auto                       2                100      {'max_depth': 1, 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 100}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
20        0.149525      0.015506         0.036095        0.016240               1               auto                       2                 10       {'max_depth': 1, 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 10}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
19       17.381917      2.868981         2.070116        0.888701               1               sqrt                       8               1000     {'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 8, 'n_estimators': 1000}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
18        6.698811      0.179324         0.517964        0.013949               1               sqrt                       8                500      {'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 8, 'n_estimators': 500}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
